set,instance,n,width,status,height_120s,objective_bound,wall_time_sec
BENG,BENG01,20,25,optimal,30,30,2.607720
BENG,BENG02,40,25,feasible,58,57,120.137170
BENG,BENG03,60,25,feasible,86,84,120.312761
BENG,BENG04,80,25,feasible,112,107,120.174400
BENG,BENG05,100,25,feasible,148,134,120.128450
BENG,BENG06,40,40,optimal,36,36,52.670349
BENG,BENG07,80,40,feasible,72,67,120.159077
BENG,BENG08,120,40,feasible,115,101,120.075390
BENG,BENG09,160,40,feasible,151,126,120.100044
BENG,BENG10,200,40,feasible,189,156,120.070664
CGCUT,CGCUT01,16,10,optimal,27,27,0.019652
CGCUT,CGCUT02,23,70,feasible,65,63,120.304696
CGCUT,CGCUT03,62,70,feasible,738,669,120.055770
GCUT,GCUT01,10,250,optimal,731,731,0.170123
GCUT,GCUT02,20,250,optimal,1301,1301,3.078774
